"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"1",20486.6285997891,17741.3071358369,NA,20195.4942126837,20653.9596860707,20377.726445174,19043.3557374514,20449.650189775,20165.7676887136,21949.1404271065,22128.1283495625,22102.5624131179,21057.2890116839,22029.1874082461,22677.857883275,NA,NA,NA,NA,NA,NA,NA,NA
"2",20867.8258713389,19469.7179569263,NA,19211.8068207803,20017.2598226682,20857.3643109477,20555.5695408963,20309.7568890275,20711.2281360038,21098.9247143308,20889.0063952345,21755.7060529175,20692.5910553291,22067.653714798,22314.0919750244,NA,NA,NA,NA,NA,NA,NA,NA
"3",16026.038920773,13828.8660684178,NA,15124.7760595274,15328.072841484,15616.0101117743,14775.9482646469,15674.9861959422,15839.7206330536,15560.5022725197,15192.5304480727,15390.8898073606,15433.8887240383,15102.3876706905,15276.0549355843,NA,NA,NA,NA,NA,NA,NA,NA
"4",16997.7126420306,14507.8049589738,NA,17044.1187350478,15451.9836174828,17210.6131753068,16058.0645187349,16964.645822009,17432.9349965382,16818.7286990164,16161.5111466867,16190.3728747607,16643.1275333476,16006.3661148234,16232.7246825657,NA,NA,NA,NA,NA,NA,NA,NA
"5",16935.9184150447,16640.487245165,NA,16797.2328259104,16943.8659142431,18410.5085134248,17247.7838640474,17016.040154029,18289.6458097892,17518.6479893594,19013.240345345,18704.1587234409,17567.5780297873,18624.7311818493,18952.7958323733,NA,NA,NA,NA,NA,NA,NA,NA
"6",21455.2127291399,19327.3290083417,NA,20826.0734019936,21066.5983867178,20771.501788897,20795.2121942607,21279.6473840069,21410.6533119683,21479.2072603832,21806.328751613,21604.6149108816,21885.5786751554,21721.1484870255,21968.9168602751,NA,NA,NA,NA,NA,NA,NA,NA
"7",22058.240787257,19750.9596948586,NA,21455.2092182887,21939.5994921099,22615.0932496063,21688.9276370657,21272.6587581149,22383.0802317151,22963.8132501788,23267.2646010446,23707.110802897,25183.9710850293,24673.6726139677,24509.5766532324,NA,NA,NA,NA,NA,NA,NA,NA
"8",18946.8596466967,16169.3087291902,NA,18341.4228920336,18705.4869397804,19295.9262700809,18592.754469297,19559.2461601756,19659.7750673158,18996.5462550687,19954.8932123752,19586.5927681944,19341.1163045325,19638.220597931,19591.8840938003,NA,NA,NA,NA,NA,NA,NA,NA
"9",20605.8464060994,19975.3455527562,NA,19706.0136124634,20409.7519643984,20945.62024978,19716.3225161105,20511.8833268544,20742.523946768,21557.7005866718,21208.3183104218,21181.4707396871,22488.8941405542,21515.2121209266,21862.0510644595,NA,NA,NA,NA,NA,NA,NA,NA
"10",22421.4343634392,20222.0240555481,NA,21266.4642987957,21802.4039316819,21285.8105553473,21264.1022714692,20775.7396617109,21097.0912391148,21241.1169229051,21133.3104563247,21381.5701733832,21304.9368000707,21761.2786497464,21500.3538650377,NA,NA,NA,NA,NA,NA,NA,NA
