"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"1",6,NA,NA,5,3,3,13,2,3,13,5,2,18,18,4,NA,NA,NA,NA,NA,NA,NA,NA
"2",4,NA,NA,12,5,1,9,4,2,8,6,7,4,9,10,NA,NA,NA,NA,NA,NA,NA,NA
"3",6,NA,NA,9,4,1,14,4,0,13,13,5,15,10,7,NA,NA,NA,NA,NA,NA,NA,NA
"4",3,NA,NA,5,3,1,13,5,1,11,7,7,15,11,14,NA,NA,NA,NA,NA,NA,NA,NA
"5",6,NA,NA,8,4,3,12,3,1,14,7,7,17,6,8,NA,NA,NA,NA,NA,NA,NA,NA
"6",3,NA,NA,5,5,2,12,2,4,6,1,7,11,20,12,NA,NA,NA,NA,NA,NA,NA,NA
"7",6,NA,NA,9,4,1,8,2,1,7,3,3,8,18,12,NA,NA,NA,NA,NA,NA,NA,NA
"8",6,NA,NA,5,4,1,6,1,1,12,5,1,14,10,4,NA,NA,NA,NA,NA,NA,NA,NA
"9",6,NA,NA,6,3,2,9,2,1,17,11,4,17,10,8,NA,NA,NA,NA,NA,NA,NA,NA
"10",7,NA,NA,6,4,1,8,2,3,1,9,11,16,13,6,NA,NA,NA,NA,NA,NA,NA,NA
"11",3,NA,NA,5,4,2,10,4,3,8,8,8,10,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"12",3,NA,NA,8,4,2,5,3,1,15,11,1,14,9,7,NA,NA,NA,NA,NA,NA,NA,NA
"13",7,NA,NA,6,6,4,11,4,1,15,9,6,14,11,11,NA,NA,NA,NA,NA,NA,NA,NA
"14",5,NA,NA,7,4,1,8,3,0,8,4,2,11,14,5,NA,NA,NA,NA,NA,NA,NA,NA
"15",6,NA,NA,3,4,1,9,1,1,10,8,6,8,11,9,NA,NA,NA,NA,NA,NA,NA,NA
"16",3,NA,NA,6,4,1,15,2,2,12,10,4,13,9,7,NA,NA,NA,NA,NA,NA,NA,NA
