"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"1",5,NA,NA,28,4,4,35,20,7,31,28,26,26,14,21,NA,NA,NA,NA,NA,NA,NA,NA
"2",7,NA,NA,21,4,4,44,14,15,39,19,20,27,21,20,NA,NA,NA,NA,NA,NA,NA,NA
"3",10,NA,NA,22,4,4,33,16,14,34,16,11,23,16,17,NA,NA,NA,NA,NA,NA,NA,NA
"4",7,NA,NA,21,4,4,30,13,10,35,25,15,29,18,19,NA,NA,NA,NA,NA,NA,NA,NA
"5",12,NA,NA,17,5,5,39,14,9,30,19,28,32,21,15,NA,NA,NA,NA,NA,NA,NA,NA
"6",5,NA,NA,23,9,9,37,21,7,32,13,21,34,16,17,NA,NA,NA,NA,NA,NA,NA,NA
"7",11,NA,NA,20,4,4,37,15,9,27,20,12,27,17,25,NA,NA,NA,NA,NA,NA,NA,NA
"8",11,NA,NA,20,4,4,28,15,10,29,19,20,38,15,14,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,NA,NA,18,4,4,30,16,11,31,20,14,26,23,13,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,NA,NA,23,4,4,40,21,13,38,16,21,22,16,15,NA,NA,NA,NA,NA,NA,NA,NA
"11",13,NA,NA,13,4,14,37,15,10,33,19,17,22,18,30,NA,NA,NA,NA,NA,NA,NA,NA
"12",7,NA,NA,18,4,4,28,11,12,34,16,15,25,21,14,NA,NA,NA,NA,NA,NA,NA,NA
"13",11,NA,NA,19,4,4,36,16,9,30,14,16,35,23,18,NA,NA,NA,NA,NA,NA,NA,NA
"14",8,NA,NA,20,9,4,32,14,13,33,22,17,24,27,13,NA,NA,NA,NA,NA,NA,NA,NA
"15",7,NA,NA,11,4,9,38,14,9,32,13,11,27,17,24,NA,NA,NA,NA,NA,NA,NA,NA
"16",12,NA,NA,19,4,5,29,11,11,31,19,19,26,21,22,NA,NA,NA,NA,NA,NA,NA,NA
"17",7,NA,NA,18,4,5,30,14,10,30,19,22,23,21,16,NA,NA,NA,NA,NA,NA,NA,NA
"18",8,NA,NA,16,4,4,31,14,9,32,24,28,30,23,20,NA,NA,NA,NA,NA,NA,NA,NA
"19",11,NA,NA,18,4,4,36,15,13,25,14,18,30,17,13,NA,NA,NA,NA,NA,NA,NA,NA
"20",7,NA,NA,22,4,4,32,14,12,26,17,19,26,25,21,NA,NA,NA,NA,NA,NA,NA,NA
"21",13,NA,NA,13,4,14,37,15,10,33,19,17,22,18,30,NA,NA,NA,NA,NA,NA,NA,NA
"22",7,NA,NA,18,4,4,28,11,12,34,16,15,25,21,14,NA,NA,NA,NA,NA,NA,NA,NA
"23",11,NA,NA,19,4,4,36,16,9,30,14,16,35,23,18,NA,NA,NA,NA,NA,NA,NA,NA
"24",8,NA,NA,20,9,4,32,14,13,33,22,17,24,27,13,NA,NA,NA,NA,NA,NA,NA,NA
"25",7,NA,NA,11,4,9,38,14,9,32,13,11,27,17,24,NA,NA,NA,NA,NA,NA,NA,NA
"26",12,NA,NA,19,4,5,29,11,11,31,19,19,26,21,22,NA,NA,NA,NA,NA,NA,NA,NA
"27",7,NA,NA,18,4,5,30,14,10,30,19,22,23,21,16,NA,NA,NA,NA,NA,NA,NA,NA
"28",8,NA,NA,16,4,4,31,14,9,32,24,28,30,23,20,NA,NA,NA,NA,NA,NA,NA,NA
"29",11,NA,NA,18,4,4,46,15,13,29,14,18,30,17,13,NA,NA,NA,NA,NA,NA,NA,NA
"30",7,NA,NA,22,4,4,32,14,12,26,17,19,26,25,21,NA,NA,NA,NA,NA,NA,NA,NA
"31",13,NA,NA,13,4,14,31,15,10,33,19,17,22,18,30,NA,NA,NA,NA,NA,NA,NA,NA
"32",7,NA,NA,18,4,4,28,11,12,34,16,15,25,21,14,NA,NA,NA,NA,NA,NA,NA,NA
"33",11,NA,NA,19,4,4,36,16,9,30,14,16,35,23,18,NA,NA,NA,NA,NA,NA,NA,NA
"34",8,NA,NA,20,9,4,32,14,13,33,22,17,24,27,13,NA,NA,NA,NA,NA,NA,NA,NA
"35",7,NA,NA,11,4,9,38,14,9,32,13,11,27,17,24,NA,NA,NA,NA,NA,NA,NA,NA
"36",12,NA,NA,19,4,5,29,11,11,31,19,19,26,21,22,NA,NA,NA,NA,NA,NA,NA,NA
"37",7,NA,NA,18,4,5,30,14,10,30,19,22,23,21,16,NA,NA,NA,NA,NA,NA,NA,NA
"38",8,NA,NA,16,4,4,31,14,9,32,24,28,30,23,20,NA,NA,NA,NA,NA,NA,NA,NA
"39",11,NA,NA,18,4,4,46,15,13,29,14,18,30,17,13,NA,NA,NA,NA,NA,NA,NA,NA
"40",7,NA,NA,22,4,4,32,14,12,26,17,19,26,25,21,NA,NA,NA,NA,NA,NA,NA,NA
"41",13,NA,NA,13,4,14,37,15,10,33,19,17,22,18,30,NA,NA,NA,NA,NA,NA,NA,NA
"42",7,NA,NA,18,4,4,28,11,12,34,16,15,25,21,14,NA,NA,NA,NA,NA,NA,NA,NA
"43",11,NA,NA,19,4,4,36,16,9,30,14,16,35,23,18,NA,NA,NA,NA,NA,NA,NA,NA
"44",8,NA,NA,20,9,4,32,14,13,33,22,17,24,27,13,NA,NA,NA,NA,NA,NA,NA,NA
"45",7,NA,NA,11,4,9,38,14,9,32,13,11,27,17,24,NA,NA,NA,NA,NA,NA,NA,NA
"46",12,NA,NA,19,4,5,29,11,11,31,19,19,26,21,22,NA,NA,NA,NA,NA,NA,NA,NA
"47",7,NA,NA,18,4,5,30,14,10,30,19,22,23,21,16,NA,NA,NA,NA,NA,NA,NA,NA
"48",8,NA,NA,16,4,4,31,14,9,32,24,28,30,23,20,NA,NA,NA,NA,NA,NA,NA,NA
"49",11,NA,NA,18,4,4,36,15,13,25,14,18,30,17,13,NA,NA,NA,NA,NA,NA,NA,NA
"50",7,NA,NA,22,4,4,32,14,12,26,17,19,26,25,21,NA,NA,NA,NA,NA,NA,NA,NA
"51",13,NA,NA,13,4,14,37,15,10,33,19,17,22,18,30,NA,NA,NA,NA,NA,NA,NA,NA
"52",7,NA,NA,18,4,4,28,11,12,34,16,15,25,21,14,NA,NA,NA,NA,NA,NA,NA,NA
"53",11,NA,NA,19,4,4,36,16,9,30,14,16,35,23,18,NA,NA,NA,NA,NA,NA,NA,NA
"54",8,NA,NA,20,9,4,32,14,13,33,22,17,24,27,13,NA,NA,NA,NA,NA,NA,NA,NA
"55",7,NA,NA,11,4,9,38,14,9,32,13,11,27,17,24,NA,NA,NA,NA,NA,NA,NA,NA
"56",12,NA,NA,19,4,5,29,11,11,31,19,19,26,21,22,NA,NA,NA,NA,NA,NA,NA,NA
"57",7,NA,NA,18,4,5,30,14,10,30,19,22,23,21,16,NA,NA,NA,NA,NA,NA,NA,NA
"58",8,NA,NA,16,4,4,31,14,9,32,24,28,30,23,20,NA,NA,NA,NA,NA,NA,NA,NA
"59",11,NA,NA,18,4,4,36,15,13,25,14,18,30,17,13,NA,NA,NA,NA,NA,NA,NA,NA
"60",7,NA,NA,22,4,4,32,14,12,26,17,19,26,25,21,NA,NA,NA,NA,NA,NA,NA,NA
"61",13,NA,NA,13,4,14,37,15,10,33,19,17,22,18,30,NA,NA,NA,NA,NA,NA,NA,NA
"62",7,NA,NA,18,4,4,28,11,12,34,16,15,25,21,14,NA,NA,NA,NA,NA,NA,NA,NA
"63",11,NA,NA,19,4,4,36,16,9,30,14,16,35,23,18,NA,NA,NA,NA,NA,NA,NA,NA
"64",8,NA,NA,20,9,4,32,14,13,33,22,17,24,27,13,NA,NA,NA,NA,NA,NA,NA,NA
"65",7,NA,NA,11,4,9,38,14,9,32,13,11,27,17,24,NA,NA,NA,NA,NA,NA,NA,NA
"66",12,NA,NA,19,4,5,29,11,11,31,19,19,26,21,22,NA,NA,NA,NA,NA,NA,NA,NA
"67",7,NA,NA,18,4,5,30,14,10,30,19,22,23,21,16,NA,NA,NA,NA,NA,NA,NA,NA
"68",8,NA,NA,16,4,4,31,14,9,32,24,28,30,23,20,NA,NA,NA,NA,NA,NA,NA,NA
"69",11,NA,NA,18,4,4,46,15,13,29,14,18,30,17,13,NA,NA,NA,NA,NA,NA,NA,NA
"70",7,NA,NA,22,4,4,32,14,12,26,17,19,26,25,21,NA,NA,NA,NA,NA,NA,NA,NA
"71",13,NA,NA,13,4,14,37,15,10,33,19,17,22,18,30,NA,NA,NA,NA,NA,NA,NA,NA
"72",7,NA,NA,18,4,4,28,11,12,34,16,15,25,21,14,NA,NA,NA,NA,NA,NA,NA,NA
"73",11,NA,NA,19,4,4,36,16,9,30,14,16,35,23,18,NA,NA,NA,NA,NA,NA,NA,NA
"74",8,NA,NA,18,4,4,32,14,13,33,22,17,24,27,13,NA,NA,NA,NA,NA,NA,NA,NA
"75",7,NA,NA,11,4,9,38,14,9,32,13,11,27,17,24,NA,NA,NA,NA,NA,NA,NA,NA
"76",12,NA,NA,19,4,5,29,11,11,31,19,19,26,21,22,NA,NA,NA,NA,NA,NA,NA,NA
"77",7,NA,NA,18,4,5,30,14,10,30,19,22,23,21,16,NA,NA,NA,NA,NA,NA,NA,NA
"78",8,NA,NA,16,4,4,31,14,9,32,24,28,30,23,20,NA,NA,NA,NA,NA,NA,NA,NA
