"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"1",11,NA,NA,20,9,9,34,14,14,29,13,19,30,19,16,NA,NA,NA,NA,NA,NA,NA,NA
"2",11,NA,NA,17,5,9,29,13,9,27,15,21,30,22,17,NA,NA,NA,NA,NA,NA,NA,NA
"3",11,NA,NA,21,9,4,40,17,15,29,20,15,32,21,21,NA,NA,NA,NA,NA,NA,NA,NA
"4",11,NA,NA,21,9,9,31,15,10,26,21,21,37,17,14,NA,NA,NA,NA,NA,NA,NA,NA
"5",12,NA,NA,20,9,9,32,18,9,24,22,10,32,21,29,NA,NA,NA,NA,NA,NA,NA,NA
"6",10,NA,NA,22,14,14,43,17,10,27,11,11,31,21,19,NA,NA,NA,NA,NA,NA,NA,NA
"7",12,NA,NA,20,14,4,34,14,10,25,16,21,34,17,10,NA,NA,NA,NA,NA,NA,NA,NA
"8",11,NA,NA,24,9,10,36,12,11,32,19,8,24,26,23,NA,NA,NA,NA,NA,NA,NA,NA
"9",10,NA,NA,19,9,4,32,16,11,33,19,22,31,18,12,NA,NA,NA,NA,NA,NA,NA,NA
"10",11,NA,NA,22,10,9,40,13,11,36,23,20,24,14,16,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,NA,NA,21,10,9,39,13,14,27,23,20,28,15,20,NA,NA,NA,NA,NA,NA,NA,NA
"12",11,NA,NA,20,9,9,32,16,13,28,19,19,22,16,12,NA,NA,NA,NA,NA,NA,NA,NA
"13",10,NA,NA,21,14,9,40,18,14,25,23,21,22,22,18,NA,NA,NA,NA,NA,NA,NA,NA
"14",11,NA,NA,22,9,4,43,17,12,28,19,31,28,16,22,NA,NA,NA,NA,NA,NA,NA,NA
"15",12,NA,NA,19,9,9,37,19,19,26,17,23,29,26,17,NA,NA,NA,NA,NA,NA,NA,NA
"16",12,NA,NA,18,10,5,38,14,13,32,16,19,32,21,20,NA,NA,NA,NA,NA,NA,NA,NA
"17",10,NA,NA,23,11,5,40,17,12,27,16,19,24,19,23,NA,NA,NA,NA,NA,NA,NA,NA
"18",11,NA,NA,22,9,9,40,20,10,28,22,18,33,17,11,NA,NA,NA,NA,NA,NA,NA,NA
"19",10,NA,NA,18,9,4,36,16,14,29,17,22,35,20,16,NA,NA,NA,NA,NA,NA,NA,NA
"20",12,NA,NA,24,9,9,34,19,14,23,23,16,30,24,12,NA,NA,NA,NA,NA,NA,NA,NA
"21",11,NA,NA,21,10,9,39,13,14,27,23,20,28,15,20,NA,NA,NA,NA,NA,NA,NA,NA
"22",11,NA,NA,20,9,9,32,16,13,28,19,19,22,16,12,NA,NA,NA,NA,NA,NA,NA,NA
"23",10,NA,NA,21,14,9,40,18,14,25,23,21,22,22,18,NA,NA,NA,NA,NA,NA,NA,NA
"24",11,NA,NA,22,9,4,43,17,12,28,19,31,28,16,22,NA,NA,NA,NA,NA,NA,NA,NA
"25",12,NA,NA,19,9,9,37,19,19,26,17,23,29,26,17,NA,NA,NA,NA,NA,NA,NA,NA
"26",12,NA,NA,18,10,5,38,14,13,32,16,19,32,21,20,NA,NA,NA,NA,NA,NA,NA,NA
"27",10,NA,NA,23,11,5,40,17,12,27,16,19,24,19,23,NA,NA,NA,NA,NA,NA,NA,NA
"28",11,NA,NA,22,9,9,40,20,10,28,22,18,33,17,11,NA,NA,NA,NA,NA,NA,NA,NA
"29",10,NA,NA,18,9,4,36,16,14,29,17,22,35,20,16,NA,NA,NA,NA,NA,NA,NA,NA
"30",12,NA,NA,24,9,9,34,19,14,23,23,16,30,24,12,NA,NA,NA,NA,NA,NA,NA,NA
"31",11,NA,NA,21,10,9,39,13,14,27,23,20,28,15,20,NA,NA,NA,NA,NA,NA,NA,NA
"32",11,NA,NA,20,9,9,32,16,13,28,19,19,22,16,12,NA,NA,NA,NA,NA,NA,NA,NA
"33",10,NA,NA,21,14,9,40,18,14,28,23,21,22,22,18,NA,NA,NA,NA,NA,NA,NA,NA
"34",11,NA,NA,22,9,4,43,17,12,28,19,31,28,16,22,NA,NA,NA,NA,NA,NA,NA,NA
"35",12,NA,NA,19,9,9,37,19,19,26,17,23,29,26,17,NA,NA,NA,NA,NA,NA,NA,NA
"36",12,NA,NA,18,10,5,38,14,13,32,16,19,32,21,20,NA,NA,NA,NA,NA,NA,NA,NA
"37",10,NA,NA,23,11,5,40,17,12,27,16,19,24,19,23,NA,NA,NA,NA,NA,NA,NA,NA
"38",11,NA,NA,22,9,9,40,20,10,28,22,18,33,17,11,NA,NA,NA,NA,NA,NA,NA,NA
"39",10,NA,NA,18,9,4,36,16,14,29,17,22,35,20,16,NA,NA,NA,NA,NA,NA,NA,NA
"40",12,NA,NA,24,9,9,34,19,14,23,23,16,30,24,12,NA,NA,NA,NA,NA,NA,NA,NA
"41",11,NA,NA,21,10,9,39,13,14,27,23,20,28,15,20,NA,NA,NA,NA,NA,NA,NA,NA
"42",11,NA,NA,20,9,9,32,16,13,28,19,19,22,16,12,NA,NA,NA,NA,NA,NA,NA,NA
"43",10,NA,NA,21,14,9,40,18,14,25,23,21,22,22,18,NA,NA,NA,NA,NA,NA,NA,NA
"44",11,NA,NA,22,9,4,43,17,12,28,19,31,28,16,22,NA,NA,NA,NA,NA,NA,NA,NA
"45",12,NA,NA,19,9,9,37,19,19,26,17,23,29,26,17,NA,NA,NA,NA,NA,NA,NA,NA
"46",12,NA,NA,18,10,5,38,14,13,32,16,19,32,21,20,NA,NA,NA,NA,NA,NA,NA,NA
"47",10,NA,NA,23,11,5,40,17,12,27,16,19,24,19,23,NA,NA,NA,NA,NA,NA,NA,NA
"48",11,NA,NA,22,9,9,40,20,10,28,22,18,33,17,11,NA,NA,NA,NA,NA,NA,NA,NA
"49",10,NA,NA,18,9,4,36,16,14,29,17,22,35,20,16,NA,NA,NA,NA,NA,NA,NA,NA
"50",12,NA,NA,24,9,9,34,19,14,23,23,16,30,24,12,NA,NA,NA,NA,NA,NA,NA,NA
"51",11,NA,NA,21,10,9,39,13,14,27,23,20,28,15,20,NA,NA,NA,NA,NA,NA,NA,NA
"52",11,NA,NA,20,9,9,32,16,13,28,19,19,22,16,12,NA,NA,NA,NA,NA,NA,NA,NA
"53",10,NA,NA,21,14,9,40,18,14,25,23,21,22,22,18,NA,NA,NA,NA,NA,NA,NA,NA
"54",11,NA,NA,22,9,4,43,17,12,28,19,31,28,16,22,NA,NA,NA,NA,NA,NA,NA,NA
"55",12,NA,NA,19,9,9,37,19,19,26,17,23,29,26,17,NA,NA,NA,NA,NA,NA,NA,NA
"56",12,NA,NA,18,10,5,38,14,13,32,16,19,32,21,20,NA,NA,NA,NA,NA,NA,NA,NA
"57",10,NA,NA,23,11,5,40,17,12,27,16,19,24,19,23,NA,NA,NA,NA,NA,NA,NA,NA
"58",11,NA,NA,22,9,9,40,20,10,28,22,18,33,17,11,NA,NA,NA,NA,NA,NA,NA,NA
