"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"1",2,NA,NA,3,20,44,6,1,0,30,6,0,29,13,0,NA,NA,NA,NA,NA,NA,NA,NA
"2",4,NA,NA,3,46,44,7,0,0,18,7,0,27,11,5,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,4,54,48,8,1,0,28,4,4,19,11,0,NA,NA,NA,NA,NA,NA,NA,NA
"4",3,NA,NA,7,47,50,5,1,0,29,7,3,28,10,5,NA,NA,NA,NA,NA,NA,NA,NA
"5",3,NA,NA,53,48,54,10,0,0,28,5,0,23,6,7,NA,NA,NA,NA,NA,NA,NA,NA
"6",3,NA,NA,6,58,50,6,1,0,23,6,3,23,11,5,NA,NA,NA,NA,NA,NA,NA,NA
"7",4,NA,NA,46,47,48,7,1,0,14,6,3,16,8,7,NA,NA,NA,NA,NA,NA,NA,NA
"8",4,NA,NA,5,50,47,6,2,0,35,7,0,23,9,5,NA,NA,NA,NA,NA,NA,NA,NA
"9",3,NA,NA,42,51,44,9,1,0,26,7,5,20,8,6,NA,NA,NA,NA,NA,NA,NA,NA
"10",4,NA,NA,3,58,57,5,1,0,25,7,4,28,10,7,NA,NA,NA,NA,NA,NA,NA,NA
"11",3,NA,NA,48,53,43,5,1,0,24,3,2,33,8,4,NA,NA,NA,NA,NA,NA,NA,NA
"12",3,NA,NA,5,54,0,6,1,0,26,1,2,30,10,7,NA,NA,NA,NA,NA,NA,NA,NA
"13",4,NA,NA,5,46,57,8,1,0,29,7,2,17,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"14",4,NA,NA,5,48,45,5,0,0,22,6,2,29,14,5,NA,NA,NA,NA,NA,NA,NA,NA
"15",3,NA,NA,16,1,44,5,1,0,15,4,4,28,6,4,NA,NA,NA,NA,NA,NA,NA,NA
"16",2,NA,NA,9,49,47,9,1,0,26,7,2,26,9,4,NA,NA,NA,NA,NA,NA,NA,NA
"17",4,NA,NA,8,47,46,8,1,0,25,3,3,36,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"18",4,NA,NA,29,48,0,5,0,0,26,5,3,28,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"19",3,NA,NA,9,46,50,7,1,0,30,5,2,23,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"20",3,NA,NA,8,54,0,6,1,0,27,9,2,25,10,4,NA,NA,NA,NA,NA,NA,NA,NA
"21",3,NA,NA,48,53,43,5,1,0,24,3,2,33,8,4,NA,NA,NA,NA,NA,NA,NA,NA
"22",3,NA,NA,5,54,0,6,1,0,26,1,2,30,10,7,NA,NA,NA,NA,NA,NA,NA,NA
"23",4,NA,NA,5,46,57,8,1,0,29,7,2,17,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"24",4,NA,NA,5,48,45,5,0,0,22,6,2,29,14,5,NA,NA,NA,NA,NA,NA,NA,NA
"25",3,NA,NA,16,1,44,5,1,0,15,4,4,28,6,4,NA,NA,NA,NA,NA,NA,NA,NA
"26",2,NA,NA,9,49,47,9,1,0,26,7,2,26,9,4,NA,NA,NA,NA,NA,NA,NA,NA
"27",4,NA,NA,8,47,46,8,1,0,25,3,3,36,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"28",4,NA,NA,29,48,0,5,0,0,26,5,3,28,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"29",3,NA,NA,9,46,50,7,1,0,30,5,2,23,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"30",3,NA,NA,8,54,0,6,1,0,27,9,2,25,10,4,NA,NA,NA,NA,NA,NA,NA,NA
"31",3,NA,NA,48,53,43,5,1,0,24,3,2,33,8,4,NA,NA,NA,NA,NA,NA,NA,NA
"32",3,NA,NA,5,54,0,6,1,0,26,1,2,30,10,7,NA,NA,NA,NA,NA,NA,NA,NA
"33",4,NA,NA,5,46,57,8,1,0,29,7,2,17,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"34",4,NA,NA,5,48,45,5,0,0,22,6,2,29,14,5,NA,NA,NA,NA,NA,NA,NA,NA
"35",3,NA,NA,16,1,44,5,1,0,15,4,4,28,6,4,NA,NA,NA,NA,NA,NA,NA,NA
"36",2,NA,NA,9,49,47,9,1,0,26,7,2,26,9,4,NA,NA,NA,NA,NA,NA,NA,NA
"37",4,NA,NA,8,47,46,8,1,0,25,3,3,36,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"38",4,NA,NA,29,48,0,5,0,0,26,5,3,28,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"39",3,NA,NA,9,46,50,7,1,0,30,5,2,23,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"40",3,NA,NA,8,54,0,6,1,0,27,9,2,25,10,4,NA,NA,NA,NA,NA,NA,NA,NA
"41",3,NA,NA,48,53,43,5,1,0,24,3,2,33,8,4,NA,NA,NA,NA,NA,NA,NA,NA
"42",3,NA,NA,5,54,0,6,1,0,26,1,2,30,10,7,NA,NA,NA,NA,NA,NA,NA,NA
"43",4,NA,NA,5,46,57,8,1,0,29,7,2,17,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"44",4,NA,NA,5,48,45,5,0,0,22,6,2,29,14,5,NA,NA,NA,NA,NA,NA,NA,NA
"45",3,NA,NA,16,1,44,5,1,0,15,4,4,28,6,4,NA,NA,NA,NA,NA,NA,NA,NA
"46",2,NA,NA,9,49,47,9,1,0,26,7,2,26,9,4,NA,NA,NA,NA,NA,NA,NA,NA
"47",4,NA,NA,8,47,46,8,1,0,25,3,3,36,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"48",4,NA,NA,29,48,0,5,0,0,26,5,3,28,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"49",3,NA,NA,9,46,50,7,1,0,30,5,2,23,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"50",3,NA,NA,8,54,0,6,1,0,27,9,2,25,10,4,NA,NA,NA,NA,NA,NA,NA,NA
"51",3,NA,NA,48,53,43,5,1,0,24,3,2,33,8,4,NA,NA,NA,NA,NA,NA,NA,NA
