"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"1",12,NA,NA,30,7,3,36,12,15,34,20,23,29,26,17,59,78,0,0,0,0,0,0
"2",12,NA,NA,23,7,3,36,9,8,34,15,15,32,17,18,49,63,0,0,0,0,0,0
"3",8,NA,NA,23,3,7,38,13,9,37,18,10,29,17,20,54,60,0,0,0,0,0,0
"4",14,NA,NA,22,10,11,37,17,12,30,20,17,31,24,15,49,73,0,0,0,0,0,0
"5",11,NA,NA,22,3,7,44,13,15,30,24,18,32,27,21,43,67,0,0,0,0,0,0
"6",10,NA,NA,26,3,3,40,20,6,36,18,20,21,20,12,51,55,0,0,0,0,0,0
"7",9,NA,NA,27,10,3,37,20,13,45,18,14,28,23,21,59,70,0,0,0,0,0,0
"8",13,NA,NA,23,7,8,37,13,11,36,30,10,35,17,23,41,75,0,0,0,0,0,0
"9",11,NA,NA,26,7,3,32,17,10,30,22,15,35,14,14,65,79,0,0,0,0,0,0
"10",8,NA,NA,31,3,10,44,21,10,32,23,13,19,19,10,62,74,0,0,0,0,0,0
"11",12,NA,NA,29,5,3,31,13,9,39,25,21,26,20,14,54,83,0,0,0,0,0,0
"12",10,NA,NA,26,3,6,34,16,8,32,21,15,29,18,17,66,78,0,0,0,0,0,0
"13",8,NA,NA,19,6,3,39,10,9,35,12,19,30,19,14,70,79,0,0,0,0,0,0
"14",10,NA,NA,26,7,7,34,13,5,33,20,15,32,21,23,78,76,0,0,0,0,0,0
"15",11,NA,NA,25,7,3,31,21,10,40,20,19,25,16,24,53,76,0,0,0,0,0,0
"16",11,NA,NA,26,6,11,38,15,12,30,19,15,33,20,13,41,74,0,0,0,0,0,0
"17",8,NA,NA,26,10,7,40,20,12,31,20,13,29,22,16,60,59,0,0,0,0,0,0
"18",8,NA,NA,27,11,3,37,16,11,33,21,17,26,21,11,56,77,0,0,0,0,0,0
"19",11,NA,NA,27,7,3,35,17,8,30,25,22,23,19,14,54,79,0,0,0,0,0,0
"20",9,NA,NA,27,3,7,34,16,15,35,24,19,24,13,16,57,82,0,0,0,0,0,0
"21",12,NA,NA,29,5,3,31,13,9,39,25,21,26,20,14,54,83,0,0,0,0,0,0
"22",10,NA,NA,26,3,6,34,16,8,32,21,15,29,18,17,66,78,0,0,0,0,0,0
"23",8,NA,NA,19,6,3,39,10,9,35,12,19,30,19,14,70,79,0,0,0,0,0,0
"24",10,NA,NA,26,7,7,34,13,5,33,20,15,32,21,23,78,76,0,0,0,0,0,0
"25",11,NA,NA,25,7,3,31,21,10,40,20,19,25,16,24,53,76,0,0,0,0,0,0
"26",11,NA,NA,26,6,11,38,15,12,30,19,15,33,20,13,41,74,0,0,0,0,0,0
"27",8,NA,NA,26,10,7,40,20,12,31,20,13,29,22,16,60,59,0,0,0,0,0,0
"28",8,NA,NA,27,11,3,37,16,11,33,21,17,26,21,11,56,77,0,0,0,0,0,0
"29",11,NA,NA,27,7,3,35,17,8,30,25,22,23,19,14,54,79,0,0,0,0,0,0
