"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"1",9,NA,NA,28,17,18,48,20,8,47,27,24,36,29,22,NA,NA,NA,NA,NA,NA,NA,NA
"2",12,NA,NA,29,26,25,43,26,17,49,31,36,42,25,22,NA,NA,NA,NA,NA,NA,NA,NA
"3",10,NA,NA,30,20,25,50,19,11,46,20,31,30,38,30,NA,NA,NA,NA,NA,NA,NA,NA
"4",8,NA,NA,29,18,24,44,18,15,49,30,23,37,28,33,NA,NA,NA,NA,NA,NA,NA,NA
"5",10,NA,NA,27,23,24,50,26,10,48,40,27,37,32,30,NA,NA,NA,NA,NA,NA,NA,NA
"6",8,NA,NA,25,22,17,53,22,11,41,27,27,32,24,27,NA,NA,NA,NA,NA,NA,NA,NA
"7",9,NA,NA,26,17,17,44,22,19,46,20,35,34,28,28,NA,NA,NA,NA,NA,NA,NA,NA
"8",9,NA,NA,28,24,25,44,25,13,47,27,25,42,35,35,NA,NA,NA,NA,NA,NA,NA,NA
"9",8,NA,NA,32,19,18,48,29,11,43,33,27,38,27,19,NA,NA,NA,NA,NA,NA,NA,NA
"10",9,NA,NA,27,18,19,51,16,14,47,43,24,38,30,25,NA,NA,NA,NA,NA,NA,NA,NA
"11",10,NA,NA,31,25,24,49,18,10,33,31,29,52,25,23,NA,NA,NA,NA,NA,NA,NA,NA
"12",9,NA,NA,27,18,17,54,20,11,47,36,27,43,19,20,NA,NA,NA,NA,NA,NA,NA,NA
"13",11,NA,NA,28,25,18,49,23,14,48,31,32,43,24,22,NA,NA,NA,NA,NA,NA,NA,NA
"14",9,NA,NA,27,23,18,51,22,16,45,34,24,43,35,34,NA,NA,NA,NA,NA,NA,NA,NA
"15",12,NA,NA,28,24,18,42,22,12,40,42,27,31,35,27,NA,NA,NA,NA,NA,NA,NA,NA
"16",8,NA,NA,30,19,21,47,22,13,51,35,26,40,30,30,NA,NA,NA,NA,NA,NA,NA,NA
"17",9,NA,NA,31,20,19,39,20,10,44,30,31,43,23,28,NA,NA,NA,NA,NA,NA,NA,NA
"18",10,NA,NA,34,19,21,49,21,10,41,34,28,43,29,30,NA,NA,NA,NA,NA,NA,NA,NA
"19",11,NA,NA,27,24,23,50,23,11,55,34,28,26,24,27,NA,NA,NA,NA,NA,NA,NA,NA
"20",10,NA,NA,27,24,23,48,28,10,39,35,14,37,32,24,NA,NA,NA,NA,NA,NA,NA,NA
"21",10,NA,NA,31,25,24,49,18,10,33,31,29,52,25,23,NA,NA,NA,NA,NA,NA,NA,NA
"22",9,NA,NA,27,18,17,54,20,11,48,36,27,43,19,20,NA,NA,NA,NA,NA,NA,NA,NA
"23",11,NA,NA,28,25,18,49,23,14,48,31,32,43,24,22,NA,NA,NA,NA,NA,NA,NA,NA
"24",9,NA,NA,27,23,18,51,22,16,45,34,24,43,35,34,NA,NA,NA,NA,NA,NA,NA,NA
"25",12,NA,NA,28,24,18,42,22,12,40,42,27,31,35,27,NA,NA,NA,NA,NA,NA,NA,NA
"26",8,NA,NA,30,19,21,47,22,13,51,35,26,40,30,30,NA,NA,NA,NA,NA,NA,NA,NA
"27",9,NA,NA,31,20,19,39,20,10,44,30,31,43,23,28,NA,NA,NA,NA,NA,NA,NA,NA
"28",10,NA,NA,34,19,21,49,21,10,41,34,28,43,29,30,NA,NA,NA,NA,NA,NA,NA,NA
"29",11,NA,NA,27,24,23,50,23,11,55,34,28,26,24,27,NA,NA,NA,NA,NA,NA,NA,NA
"30",10,NA,NA,27,24,23,48,28,10,39,35,14,37,32,24,NA,NA,NA,NA,NA,NA,NA,NA
"31",10,NA,NA,31,25,24,49,18,10,33,31,29,52,25,23,NA,NA,NA,NA,NA,NA,NA,NA
"32",9,NA,NA,27,18,17,54,20,11,47,36,27,43,19,20,NA,NA,NA,NA,NA,NA,NA,NA
"33",11,NA,NA,28,25,18,49,23,14,48,31,32,43,24,22,NA,NA,NA,NA,NA,NA,NA,NA
"34",9,NA,NA,27,23,18,51,22,16,45,34,24,43,35,34,NA,NA,NA,NA,NA,NA,NA,NA
"35",12,NA,NA,28,24,18,42,22,12,40,42,27,31,35,27,NA,NA,NA,NA,NA,NA,NA,NA
"36",8,NA,NA,30,19,21,47,22,13,51,35,26,40,30,30,NA,NA,NA,NA,NA,NA,NA,NA
"37",9,NA,NA,31,20,19,39,20,10,44,30,31,43,23,28,NA,NA,NA,NA,NA,NA,NA,NA
"38",10,NA,NA,34,19,21,49,21,10,41,34,28,43,29,30,NA,NA,NA,NA,NA,NA,NA,NA
"39",11,NA,NA,27,24,23,50,23,11,55,34,28,26,24,27,NA,NA,NA,NA,NA,NA,NA,NA
"40",10,NA,NA,27,24,23,48,28,10,39,35,14,37,32,24,NA,NA,NA,NA,NA,NA,NA,NA
"41",10,NA,NA,31,25,24,49,18,10,33,31,29,52,25,23,NA,NA,NA,NA,NA,NA,NA,NA
"42",9,NA,NA,27,18,17,54,20,11,47,36,27,43,19,20,NA,NA,NA,NA,NA,NA,NA,NA
"43",11,NA,NA,28,25,18,49,23,14,48,31,32,43,24,22,NA,NA,NA,NA,NA,NA,NA,NA
"44",9,NA,NA,27,23,18,51,22,16,45,34,24,43,35,34,NA,NA,NA,NA,NA,NA,NA,NA
"45",12,NA,NA,28,24,18,42,22,12,40,42,27,31,35,27,NA,NA,NA,NA,NA,NA,NA,NA
"46",8,NA,NA,30,19,21,47,22,13,51,35,26,40,30,30,NA,NA,NA,NA,NA,NA,NA,NA
"47",9,NA,NA,31,20,19,39,20,10,44,30,31,43,23,28,NA,NA,NA,NA,NA,NA,NA,NA
"48",10,NA,NA,34,19,21,49,21,10,41,34,28,43,29,30,NA,NA,NA,NA,NA,NA,NA,NA
"49",11,NA,NA,27,24,23,50,23,11,55,34,28,26,24,27,NA,NA,NA,NA,NA,NA,NA,NA
"50",10,NA,NA,27,24,23,48,28,10,39,35,14,37,32,24,NA,NA,NA,NA,NA,NA,NA,NA
"51",10,NA,NA,31,25,24,49,18,10,33,31,29,52,25,23,NA,NA,NA,NA,NA,NA,NA,NA
"52",9,NA,NA,27,18,17,54,20,11,47,36,27,43,19,20,NA,NA,NA,NA,NA,NA,NA,NA
"53",11,NA,NA,28,25,18,49,23,14,48,31,32,43,24,22,NA,NA,NA,NA,NA,NA,NA,NA
"54",9,NA,NA,27,23,18,51,22,16,45,34,24,43,35,34,NA,NA,NA,NA,NA,NA,NA,NA
"55",12,NA,NA,28,24,18,42,22,12,40,42,27,31,35,27,NA,NA,NA,NA,NA,NA,NA,NA
"56",8,NA,NA,30,19,21,47,22,13,51,35,26,40,30,30,NA,NA,NA,NA,NA,NA,NA,NA
"57",9,NA,NA,31,20,19,39,20,10,44,30,31,43,23,28,NA,NA,NA,NA,NA,NA,NA,NA
"58",10,NA,NA,34,19,21,49,21,10,41,34,28,43,29,30,NA,NA,NA,NA,NA,NA,NA,NA
"59",11,NA,NA,27,24,23,50,23,11,55,34,28,26,24,27,NA,NA,NA,NA,NA,NA,NA,NA
"60",10,NA,NA,27,24,23,48,28,10,39,35,14,37,32,24,NA,NA,NA,NA,NA,NA,NA,NA
"61",10,NA,NA,31,25,24,49,18,10,33,31,29,52,25,23,NA,NA,NA,NA,NA,NA,NA,NA
"62",9,NA,NA,27,18,17,54,20,11,47,36,27,43,19,20,NA,NA,NA,NA,NA,NA,NA,NA
"63",11,NA,NA,28,25,18,49,23,14,48,31,32,43,24,22,NA,NA,NA,NA,NA,NA,NA,NA
"64",9,NA,NA,27,23,18,51,22,16,45,34,24,43,35,34,NA,NA,NA,NA,NA,NA,NA,NA
"65",12,NA,NA,28,24,18,42,22,12,40,42,27,31,35,27,NA,NA,NA,NA,NA,NA,NA,NA
"66",8,NA,NA,30,19,21,47,22,13,51,35,26,40,30,30,NA,NA,NA,NA,NA,NA,NA,NA
"67",9,NA,NA,31,20,19,39,20,10,44,30,31,43,23,28,NA,NA,NA,NA,NA,NA,NA,NA
"68",10,NA,NA,34,19,21,49,21,10,41,34,28,43,29,30,NA,NA,NA,NA,NA,NA,NA,NA
"69",11,NA,NA,27,24,23,50,23,11,55,34,28,26,24,27,NA,NA,NA,NA,NA,NA,NA,NA
"70",10,NA,NA,27,24,23,48,28,10,39,35,14,37,32,24,NA,NA,NA,NA,NA,NA,NA,NA
"71",10,NA,NA,31,25,24,49,18,10,33,31,29,52,25,23,NA,NA,NA,NA,NA,NA,NA,NA
"72",9,NA,NA,27,18,17,54,20,11,47,36,27,43,19,20,NA,NA,NA,NA,NA,NA,NA,NA
"73",11,NA,NA,28,25,18,49,23,14,48,31,32,43,24,22,NA,NA,NA,NA,NA,NA,NA,NA
"74",9,NA,NA,27,23,18,51,22,16,45,34,24,43,35,34,NA,NA,NA,NA,NA,NA,NA,NA
"75",12,NA,NA,28,24,18,42,22,12,40,42,27,31,35,27,NA,NA,NA,NA,NA,NA,NA,NA
"76",8,NA,NA,30,19,21,47,22,13,51,35,26,40,30,30,NA,NA,NA,NA,NA,NA,NA,NA
"77",9,NA,NA,31,20,19,39,20,10,44,30,31,43,23,28,NA,NA,NA,NA,NA,NA,NA,NA
"78",10,NA,NA,34,19,21,49,21,10,41,34,28,43,29,30,NA,NA,NA,NA,NA,NA,NA,NA
"79",11,NA,NA,27,24,23,50,23,11,55,34,28,26,24,27,NA,NA,NA,NA,NA,NA,NA,NA
"80",10,NA,NA,27,24,23,48,28,10,39,35,14,37,32,24,NA,NA,NA,NA,NA,NA,NA,NA
"81",10,NA,NA,31,25,24,49,18,10,33,31,29,52,25,23,NA,NA,NA,NA,NA,NA,NA,NA
"82",9,NA,NA,27,18,17,54,20,11,47,36,27,43,19,20,NA,NA,NA,NA,NA,NA,NA,NA
"83",11,NA,NA,28,25,18,49,23,14,48,31,32,43,24,22,NA,NA,NA,NA,NA,NA,NA,NA
"84",9,NA,NA,27,23,18,51,22,16,45,34,24,43,35,34,NA,NA,NA,NA,NA,NA,NA,NA
"85",12,NA,NA,28,24,18,42,22,12,40,42,27,31,35,27,NA,NA,NA,NA,NA,NA,NA,NA
"86",8,NA,NA,30,19,21,47,22,13,51,35,26,40,30,30,NA,NA,NA,NA,NA,NA,NA,NA
"87",9,NA,NA,31,20,19,39,20,10,44,30,31,43,23,28,NA,NA,NA,NA,NA,NA,NA,NA
"88",10,NA,NA,34,19,21,49,21,10,41,34,28,43,29,30,NA,NA,NA,NA,NA,NA,NA,NA
"89",11,NA,NA,27,24,23,50,23,11,55,34,28,26,24,27,NA,NA,NA,NA,NA,NA,NA,NA
"90",10,NA,NA,27,24,23,48,28,10,39,35,14,37,32,24,NA,NA,NA,NA,NA,NA,NA,NA
"91",10,NA,NA,31,25,24,49,18,10,33,31,29,52,25,23,NA,NA,NA,NA,NA,NA,NA,NA
"92",9,NA,NA,27,18,17,54,20,11,47,36,27,43,19,20,NA,NA,NA,NA,NA,NA,NA,NA
"93",11,NA,NA,28,25,18,49,23,14,48,31,32,43,24,22,NA,NA,NA,NA,NA,NA,NA,NA
