"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"1",4,NA,NA,23,12,12,50,51,51,49,42,49,57,47,51,NA,NA,NA,NA,NA,NA,NA,NA
"2",6,NA,NA,26,14,14,50,49,44,56,50,57,54,53,59,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,NA,NA,26,26,26,51,48,46,57,56,51,57,52,58,NA,NA,NA,NA,NA,NA,NA,NA
"4",5,NA,NA,27,17,18,48,48,48,53,54,56,56,60,60,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,NA,NA,25,17,17,49,49,53,57,53,49,61,58,59,NA,NA,NA,NA,NA,NA,NA,NA
"6",5,NA,NA,26,15,14,44,38,46,56,55,54,61,59,60,NA,NA,NA,NA,NA,NA,NA,NA
"7",4,NA,NA,24,14,12,55,48,45,58,54,54,60,59,59,NA,NA,NA,NA,NA,NA,NA,NA
"8",5,NA,NA,29,22,14,49,54,54,61,53,52,61,52,61,NA,NA,NA,NA,NA,NA,NA,NA
"9",6,NA,NA,28,23,22,47,51,52,50,53,52,52,59,55,NA,NA,NA,NA,NA,NA,NA,NA
"10",4,NA,NA,25,23,21,47,47,48,55,53,53,56,56,53,NA,NA,NA,NA,NA,NA,NA,NA
"11",6,NA,NA,25,24,23,49,55,52,56,58,57,57,55,60,NA,NA,NA,NA,NA,NA,NA,NA
"12",5,NA,NA,28,15,14,43,51,43,53,54,53,61,59,62,NA,NA,NA,NA,NA,NA,NA,NA
"13",4,NA,NA,25,11,11,53,54,46,55,51,50,62,54,57,NA,NA,NA,NA,NA,NA,NA,NA
"14",5,NA,NA,22,23,15,51,50,53,54,52,49,61,58,59,NA,NA,NA,NA,NA,NA,NA,NA
"15",4,NA,NA,24,13,13,52,42,45,49,56,48,58,59,58,NA,NA,NA,NA,NA,NA,NA,NA
"16",6,NA,NA,31,16,22,47,50,55,63,59,56,56,60,58,NA,NA,NA,NA,NA,NA,NA,NA
"17",5,NA,NA,26,25,25,48,52,52,59,56,50,49,56,51,NA,NA,NA,NA,NA,NA,NA,NA
"18",5,NA,NA,29,23,22,52,51,48,54,56,55,63,53,55,NA,NA,NA,NA,NA,NA,NA,NA
"19",4,NA,NA,23,13,13,41,50,42,58,53,55,60,50,59,NA,NA,NA,NA,NA,NA,NA,NA
"20",5,NA,NA,33,26,24,49,47,49,63,54,50,57,59,55,NA,NA,NA,NA,NA,NA,NA,NA
"21",6,NA,NA,25,24,23,49,55,52,56,58,57,57,55,60,NA,NA,NA,NA,NA,NA,NA,NA
"22",5,NA,NA,28,15,14,43,51,43,53,54,53,61,59,62,NA,NA,NA,NA,NA,NA,NA,NA
"23",4,NA,NA,25,11,11,53,54,46,55,51,50,62,54,57,NA,NA,NA,NA,NA,NA,NA,NA
"24",5,NA,NA,22,23,15,51,50,53,54,52,49,61,58,59,NA,NA,NA,NA,NA,NA,NA,NA
"25",4,NA,NA,24,13,13,52,42,45,49,56,48,58,59,58,NA,NA,NA,NA,NA,NA,NA,NA
"26",6,NA,NA,31,16,22,47,50,55,63,59,56,56,60,58,NA,NA,NA,NA,NA,NA,NA,NA
"27",5,NA,NA,26,25,25,48,52,52,59,56,50,49,56,51,NA,NA,NA,NA,NA,NA,NA,NA
"28",5,NA,NA,29,23,22,52,51,48,54,56,55,63,53,55,NA,NA,NA,NA,NA,NA,NA,NA
"29",4,NA,NA,23,13,13,41,50,42,58,53,55,60,50,59,NA,NA,NA,NA,NA,NA,NA,NA
"30",5,NA,NA,33,26,24,49,47,49,63,54,50,57,59,55,NA,NA,NA,NA,NA,NA,NA,NA
"31",6,NA,NA,25,24,23,49,55,52,56,58,57,57,55,60,NA,NA,NA,NA,NA,NA,NA,NA
"32",5,NA,NA,28,15,14,43,51,43,53,54,53,61,59,62,NA,NA,NA,NA,NA,NA,NA,NA
"33",4,NA,NA,25,11,11,53,54,46,55,51,50,62,54,57,NA,NA,NA,NA,NA,NA,NA,NA
"34",5,NA,NA,22,23,15,51,50,53,54,52,49,61,58,59,NA,NA,NA,NA,NA,NA,NA,NA
"35",4,NA,NA,24,13,13,52,42,45,49,56,48,58,59,58,NA,NA,NA,NA,NA,NA,NA,NA
"36",6,NA,NA,31,16,22,47,50,55,63,59,56,56,60,58,NA,NA,NA,NA,NA,NA,NA,NA
"37",5,NA,NA,26,25,25,48,52,52,59,56,50,49,56,51,NA,NA,NA,NA,NA,NA,NA,NA
"38",5,NA,NA,29,23,22,52,51,48,54,56,55,63,53,55,NA,NA,NA,NA,NA,NA,NA,NA
"39",4,NA,NA,23,13,13,41,50,42,58,53,55,60,50,59,NA,NA,NA,NA,NA,NA,NA,NA
"40",5,NA,NA,33,26,24,49,47,49,63,54,50,57,59,55,NA,NA,NA,NA,NA,NA,NA,NA
"41",6,NA,NA,25,24,23,49,55,52,56,58,57,57,55,60,NA,NA,NA,NA,NA,NA,NA,NA
"42",5,NA,NA,28,15,14,43,51,43,53,54,53,61,59,62,NA,NA,NA,NA,NA,NA,NA,NA
"43",4,NA,NA,25,11,11,53,54,46,55,51,50,62,54,57,NA,NA,NA,NA,NA,NA,NA,NA
"44",5,NA,NA,22,23,15,51,50,53,54,52,49,61,58,59,NA,NA,NA,NA,NA,NA,NA,NA
"45",4,NA,NA,24,13,13,52,42,45,49,56,48,58,59,58,NA,NA,NA,NA,NA,NA,NA,NA
"46",6,NA,NA,31,16,22,47,50,55,63,59,56,56,60,58,NA,NA,NA,NA,NA,NA,NA,NA
"47",5,NA,NA,26,25,25,48,52,52,59,56,50,49,56,51,NA,NA,NA,NA,NA,NA,NA,NA
"48",5,NA,NA,29,23,22,52,51,48,54,56,55,63,53,55,NA,NA,NA,NA,NA,NA,NA,NA
"49",4,NA,NA,23,13,13,41,50,42,58,53,55,60,50,59,NA,NA,NA,NA,NA,NA,NA,NA
"50",5,NA,NA,33,26,24,49,47,49,63,54,50,57,59,55,NA,NA,NA,NA,NA,NA,NA,NA
"51",6,NA,NA,25,24,23,49,55,52,56,58,57,57,55,60,NA,NA,NA,NA,NA,NA,NA,NA
"52",5,NA,NA,28,15,14,43,51,43,53,54,53,61,59,62,NA,NA,NA,NA,NA,NA,NA,NA
"53",4,NA,NA,25,11,11,53,54,46,55,51,50,62,54,57,NA,NA,NA,NA,NA,NA,NA,NA
"54",5,NA,NA,22,23,15,51,50,53,54,52,49,61,58,59,NA,NA,NA,NA,NA,NA,NA,NA
"55",4,NA,NA,24,13,13,52,42,45,49,56,48,58,59,58,NA,NA,NA,NA,NA,NA,NA,NA
